"","rel.inf","rel.inf.1","rel.inf.2","rel.inf.3","rel.inf.4"
"APOBEC3C",4.13034390797706,1.15003527448363,0.266506599882154,3.12456356153561,0.196399574647437
"APOBEC3F",0.628367659422721,1.58143664077173,0.139526188224891,0.933386812014644,0.363343883006829
"ARF1",4.78770827698918,3.02925587726509,2.9017698673725,4.23209350008731,3.50917503858491
"ARID5A",4.83784750894339,6.42087121421038,6.15507879909865,4.45340746278783,8.10245108437164
"BPIL1",0.713079740979068,1.58298573031552,1.19416679994891,3.06053066382907,2.64781976323085
"C10orf54",1.29797597319886,0.234552130142598,0.527244463304634,0.375817733496744,0.472218388457459
"C1orf213",0.36272188895679,0.0948905261990162,0.791090384099573,0.443746949401276,0.0148656717593616
"C20orf19",3.73879548547035,3.09600884576912,1.49230353988425,0.961207494808683,3.53361887712291
"C21orf63",0.764004060985041,0.593934740368482,1.20643995923471,0.304542211027923,2.03703549319751
"CFP",2.779280047704,0.621211771382202,2.32077758568252,1.58415040003058,1.75474702410784
"CNOT10",3.839140254429,2.68405005183085,2.55037162898177,2.01186591233036,0.670316960266058
"CYBA",1.7752228737119,3.92749447963456,3.91341738992448,0.759866918452556,3.18801111987702
"DDX23",4.21064589500159,1.09268782950665,2.86898645096255,3.97659649250271,3.58373553386656
"FLJ21511",1.39806965713254,1.39130761269182,1.78859185569608,1.56231577533139,3.48926984377416
"GGTA1",1.03193527446575,2.10987713884812,4.69821853098548,7.70846993954694,2.67566703980896
"GPR6",1.42699780719896,2.35105016128347,1.80150463407207,4.53100433177209,2.5793354056268
"GRRP1",0.352620235037962,2.74265786403854,3.26147816065355,0.409328969908573,1.5263025051695
"hCG_1990170",0.0300349416619625,1.25701200640679,0.363702198715996,0.195156928120483,0
"HEATR2",1.38788643162693,0.599918151492039,0.634878644885259,0.469838549411238,0.23579274150836
"HNRPH3",1.43821244909341,0.0373756906172652,0.989620756847262,0.024633481015105,0
"IL13",0.231264549532721,0.607646152624323,0.0179774661857582,1.06430001699193,1.0475742658868
"JAG2",0.35665990460262,3.09102581152866,1.40870605344447,2.59146168858478,0.860217721068707
"JARID1B",1.77254414205546,0.329533744982168,0.454375888431917,0.825563791524135,0.569377007842496
"KCNE1L",0.978217617620751,1.83760410932377,0.296012956854234,1.26087357367807,1.49988272456718
"KCNMB3",9.97699322837422,0.179038570191521,11.8740986927013,8.28626545472646,6.61215682239958
"KIAA1462",4.32944589802927,8.37682060290384,2.91435981809129,3.72494925776722,2.25802925144453
"KLK7",3.70975644213488,5.67830022921514,2.07407892695361,1.4373208801927,2.40279190757848
"KLRF1",0.642147217024645,1.37116954484994,0.412422506295551,2.05621954621356,1.31968237468453
"MNDA",3.91567057135689,0.227649841953003,6.18439520973064,4.98775008679108,3.60048559220575
"MT1H",1.91562560171174,8.31049956991551,2.96398417489171,2.25204582270033,1.15493519214346
"MT1JP",1.11062990972794,0.489893465263684,0.543217551977071,1.26184019200517,0.435568410207725
"PDK4",1.26522427643161,0,1.36737462965135,0.581193829155644,1.00995188187915
"PER1",9.91228678684445,0,8.33924077921418,5.28673038159238,6.79353709904259
"RASGEF1B",1.3364220254637,11.5219444602306,2.18889750981891,2.11867316612149,1.44133981311542
"RC3H1",1.43608909075995,2.69579810479989,1.7091075823493,1.69425652662054,7.73155548644398
"RCL1",4.44167771887525,9.14457181471913,6.97190705366153,7.71693895407559,8.46568044400606
"RNASE1",2.01959095096361,2.77817733070843,4.07731633309448,1.52953454466408,1.9043541360437
"SAA1",2.39701087422277,0.954730072156586,0.412634627027934,1.01434130523333,3.04432185450161
"SMARCAL1",3.4022706917683,4.07029565453541,2.39294951226939,2.08100321012557,3.69621076672123
"WAC",1.89527064398131,0.548802847142906,1.77075188768232,3.66524338988824,1.64246288378068
"YWHAH",2.02431148853145,1.18788433569758,1.76051640121575,3.44097029393661,1.92977841605219
