"","mutO","mutX","MSE"
"UBR4",20,384,1441978.26487598
"CDH1",29,375,1443656.47223171
"ZFHX4",20,384,1444187.88879306
"CROCCP2",20,384,1445120.45570854
"MUC16",47,357,1448784.97086351
"CSMD1",23,381,1448981.79927531
"SYNE2",21,383,1449849.91844086
"MUC4",24,380,1452038.03957573
"MLL3",24,380,1452873.41258577
"TBP",22,382,1453088.78825441
"TP53",125,279,1453126.18274957
"MAP3K1",34,370,1453135.65129823
"RYR3",21,383,1453158.70488821
"GATA3",50,354,1453693.84438804
"USH2A",29,375,1454082.32928781
"PIK3CA",136,268,1454146.85095408
"LRP2",20,384,1454513.01008019
"RYR2",25,379,1454607.5484323
"NEB",25,379,1455040.10953421
"SPEN",27,377,1455100.35925887
"TTN",70,334,1455438.71954006
"MUC12",24,380,1455537.97139244
"FCGBP",22,382,1455772.98769975
"HRNR",23,381,1455781.89741013
